dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,document-url,documentation-url,event-date,local-plan,local-plan-event,notes,organisation,predicted-earliest-date,predicted-latest-date
local-plan-timetable,,4230236,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-reg-19-public-consultation-start,,timetable,,,2023-12-04,ashfield-district-council-local-plan-2023,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230237,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-reg-19-public-consultation-end,,timetable,,,2024-01-29,ashfield-district-council-local-plan-2023,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230238,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-estimated-reg-19-public-consultation-start,,timetable,,,2025-01-01,castle-point-borough-council-local-plan-2023,estimated-reg-19-public-consultation-start,,,,
local-plan-timetable,,4230239,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-estimated-reg-19-public-consultation-end,,timetable,,,2025-03-01,castle-point-borough-council-local-plan-2023,estimated-reg-19-public-consultation-end,,,,
local-plan-timetable,,4230240,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-estimated-reg-19-publication-local-plan-published,,timetable,,,2025-01-01,castle-point-borough-council-local-plan-2023,estimated-reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230241,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-estimated-submit-plan-for-examination,,timetable,,,2025-04-01,castle-point-borough-council-local-plan-2023,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230242,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-estimated-plan-adoption-date,,timetable,,,2026-03-01,castle-point-borough-council-local-plan-2023,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230243,2024-11-25,,,,161,,local-plan-timetable,some,hart-district-council-local-plan-2014-submit-plan-for-examination,,timetable,,,2018-06-18,hart-district-council-local-plan-2014,submit-plan-for-examination,,,,
local-plan-timetable,,4230244,2024-11-25,,,,161,,local-plan-timetable,some,hart-district-council-local-plan-2014-planning-inspectorate-examination-start,,timetable,,,2018-11-20,hart-district-council-local-plan-2014,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230245,2024-11-25,,,,161,,local-plan-timetable,some,hart-district-council-local-plan-2014-planning-inspectorate-examination-end,,timetable,,,2018-12-18,hart-district-council-local-plan-2014,planning-inspectorate-examination-end,,,,
local-plan-timetable,,4230246,2024-11-25,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2020-reg-18-draft-local-plan-published,,timetable,,,2020-07-14,bedford-borough-council-local-plan-2020,reg-18-draft-local-plan-published,Issues and Options,,,
local-plan-timetable,,4230247,2024-11-25,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2020-reg-18-public-consultation-start,,timetable,,,2021-06-29,bedford-borough-council-local-plan-2020,reg-18-public-consultation-start,Issues and Options,,,
local-plan-timetable,,4230248,2024-11-25,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2020-reg-18-public-consultation-end,,timetable,,,2021-09-03,bedford-borough-council-local-plan-2020,reg-18-public-consultation-end,Issues and Options,,,
local-plan-timetable,,4230249,2024-11-25,,,,160,,local-plan-timetable,some,hastings-borough-council-local-plan-2019-estimated-reg-18-draft-local-plan-published,,timetable,,,2020-03-02,hastings-borough-council-local-plan-2019,estimated-reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230250,2024-11-25,,,,160,,local-plan-timetable,some,hastings-borough-council-local-plan-2019-estimated-reg-19-public-consultation-start,,timetable,,,2025-04-01,hastings-borough-council-local-plan-2019,estimated-reg-19-public-consultation-start,,,,
local-plan-timetable,,4230251,2024-11-25,,,,28,,local-plan-timetable,some,amber-valley-borough-council-local-plan-2022-reg-19-public-consultation-start,,timetable,,,2024-02-16,amber-valley-borough-council-local-plan-2022,reg-19-public-consultation-start,"legal compliance, soundness and meeting the duty to cooperate",,,
local-plan-timetable,,4230252,2024-11-25,,,,28,,local-plan-timetable,some,amber-valley-borough-council-local-plan-2022-reg-19-public-consultation-end,,timetable,,,2024-05-01,amber-valley-borough-council-local-plan-2022,reg-19-public-consultation-end,"legal compliance, soundness and meeting the duty to cooperate",,,
local-plan-timetable,,4230253,2024-11-25,,,,76,,local-plan-timetable,some,central-bedfordshire-council-local-plan-estimated-reg-18-draft-local-plan-published,,timetable,,,2026-02-01,central-bedfordshire-council-local-plan,estimated-reg-18-draft-local-plan-published,Draft Local Plan Formal Consultation,,,
local-plan-timetable,,4230254,2024-11-25,,,,76,,local-plan-timetable,some,central-bedfordshire-council-local-plan-estimated-reg-18-public-consultation-end,,timetable,,,2026-04-01,central-bedfordshire-council-local-plan,estimated-reg-18-public-consultation-end,Draft Local Plan Formal Consultation,,,
local-plan-timetable,,4230255,2024-11-25,,,,76,,local-plan-timetable,some,central-bedfordshire-council-local-plan-estimated-reg-18-public-consultation-start,,timetable,,,2026-02-01,central-bedfordshire-council-local-plan,estimated-reg-18-public-consultation-start,Draft Local Plan Formal Consultation,,,
local-plan-timetable,,4230256,2024-11-25,,,,76,,local-plan-timetable,some,central-bedfordshire-council-local-plan-estimated-reg-19-public-consultation-start,,timetable,,,2027-10-01,central-bedfordshire-council-local-plan,estimated-reg-19-public-consultation-start,Publication of the proposed submission (Pre-Submission) plan for representations,,,
local-plan-timetable,,4230257,2024-11-25,,,,76,,local-plan-timetable,some,central-bedfordshire-council-local-plan-estimated-reg-19-publication-local-plan-published,,timetable,,,2027-09-01,central-bedfordshire-council-local-plan,estimated-reg-19-publication-local-plan-published,Publication of the proposed submission (Pre-Submission) plan for representations,,,
local-plan-timetable,,4230258,2024-11-25,,,,76,,local-plan-timetable,some,central-bedfordshire-council-local-plan-estimated-submit-plan-for-examination,,timetable,,,2028-02-01,central-bedfordshire-council-local-plan,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230259,2024-11-25,,,,76,,local-plan-timetable,some,central-bedfordshire-council-local-plan-estimated-plan-adoption-date,,timetable,,,2028-12-01,central-bedfordshire-council-local-plan,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230260,2024-11-25,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2020-submit-plan-for-examination,,timetable,,,2023-01-12,bedford-borough-council-local-plan-2020,submit-plan-for-examination,,,,
local-plan-timetable,,4230261,2024-11-25,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2030-submit-plan-for-examination,,timetable,,,2018-12-05,bedford-borough-council-local-plan-2030,submit-plan-for-examination,,,,
local-plan-timetable,,4230262,2024-11-25,,,,38,,local-plan-timetable,some,bath-and-north-east-somerset-council-local-plan-2022-estimated-reg-18-draft-local-plan-published,,timetable,,,2024-06-01,bath-and-north-east-somerset-council-local-plan-2022,estimated-reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230263,2024-11-25,,,,38,,local-plan-timetable,some,bath-and-north-east-somerset-council-local-plan-2022-estimated-reg-18-public-consultation-end,,timetable,,,2024-08-01,bath-and-north-east-somerset-council-local-plan-2022,estimated-reg-18-public-consultation-end,,,,
local-plan-timetable,,4230264,2024-11-25,,,,38,,local-plan-timetable,some,bath-and-north-east-somerset-council-local-plan-2022-estimated-reg-18-public-consultation-start,,timetable,,,2024-06-01,bath-and-north-east-somerset-council-local-plan-2022,estimated-reg-18-public-consultation-start,,,,
local-plan-timetable,,4230265,2024-11-25,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2026-reg-18-public-consultation-start,,timetable,,,2024-07-01,birmingham-city-council-local-plan-2026,reg-18-public-consultation-start,Preferred options,,,
local-plan-timetable,,4230266,2024-11-25,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2026-reg-18-public-consultation-end,,timetable,,,2024-08-01,birmingham-city-council-local-plan-2026,reg-18-public-consultation-end,Preferred options,,,
local-plan-timetable,,4230267,2024-11-25,,,,38,,local-plan-timetable,some,bath-and-north-east-somerset-council-local-plan-2022-estimated-submit-plan-for-examination,,timetable,,,2024-11-01,bath-and-north-east-somerset-council-local-plan-2022,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230268,2024-11-25,,,,38,,local-plan-timetable,some,bath-and-north-east-somerset-council-local-plan-2022-estimated-plan-adoption-date,,timetable,,,2025-09-01,bath-and-north-east-somerset-council-local-plan-2022,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230269,2024-11-25,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2026-reg-19-public-consultation-start,,timetable,,,2025-02-01,birmingham-city-council-local-plan-2026,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230270,2024-11-25,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2026-submit-plan-for-examination,,timetable,,,2025-06-01,birmingham-city-council-local-plan-2026,submit-plan-for-examination,,,,
local-plan-timetable,,4230271,2024-11-25,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2026-planning-inspectorate-examination-start,,timetable,,,2025-09-01,birmingham-city-council-local-plan-2026,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230272,2024-11-25,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2026-inspector-report-published,,timetable,,,2026-09-01,birmingham-city-council-local-plan-2026,inspector-report-published,,,,
local-plan-timetable,,4230273,2024-11-25,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2026-planning-inspectorate-found-sound,,timetable,,,2026-09-01,birmingham-city-council-local-plan-2026,planning-inspectorate-found-sound,,,,
local-plan-timetable,,4230274,2024-12-06,,,,,,local-plan-timetable,some,black-country-core-strategy-2011-plan-adopted,,timetable,,,2011-02-03,black-country-core-strategy-2011,plan-adopted,,,,
local-plan-timetable,,4230275,2024-12-06,,,,162,,local-plan-timetable,some,london-borough-of-havering-local-plan-2016-plan-adopted,,timetable,,,2021-11-17,london-borough-of-havering-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230276,2024-12-06,,,,122,,local-plan-timetable,some,east-hampshire-district-council-local-plan-2021-timetable-published,,timetable,,,2023-07-01,east-hampshire-district-council-local-plan-2021,timetable-published,,,,
local-plan-timetable,,4230277,2024-12-06,,,,379,,local-plan-timetable,some,woking-borough-council-local-plan-2010-plan-adopted,,timetable,,,2012-10-25,woking-borough-council-local-plan-2010,plan-adopted,,,,
local-plan-timetable,,4230278,2024-12-06,,,,379,,local-plan-timetable,some,woking-borough-council-local-plan-2010-timetable-published,,timetable,,,2018-10-18,woking-borough-council-local-plan-2010,timetable-published,,,,
local-plan-timetable,,4230279,2024-12-06,,,,111,,local-plan-timetable,some,dover-district-council-local-plan-2020-plan-adopted,,timetable,,,2024-10-16,dover-district-council-local-plan-2020,plan-adopted,,,,
local-plan-timetable,,4230280,2024-12-06,,,,399,,local-plan-timetable,some,broads-authority-local-plan-2015-plan-adopted,,timetable,,,2019-05-17,broads-authority-local-plan-2015,plan-adopted,,,,
local-plan-timetable,,4230281,2024-12-06,,,,65,,local-plan-timetable,some,london-borough-of-bromley-local-plan-2019-plan-adopted,,timetable,,,2019-01-16,london-borough-of-bromley-local-plan-2019,plan-adopted,,,,
local-plan-timetable,,4230282,2024-12-06,,,,249,,local-plan-timetable,some,oldham-metropolitan-borough-council-local-plan-2011-plan-adopted,,timetable,,,2011-11-09,oldham-metropolitan-borough-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230283,2024-12-06,,,,115,,local-plan-timetable,some,london-borough-of-ealing-local-plan-2011-plan-adopted,,timetable,,,2012-04-03,london-borough-of-ealing-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230284,2024-12-06,,,,165,,local-plan-timetable,some,hertsmere-borough-council-local-plan-2012-plan-adopted,,timetable,,,2013-01-16,hertsmere-borough-council-local-plan-2012,plan-adopted,,,,
local-plan-timetable,,4230285,2024-12-06,,,,41,,local-plan-timetable,some,london-borough-of-barking-and-dagenham-local-plan-2020-plan-adopted,,timetable,,,2024-09-18,london-borough-of-barking-and-dagenham-local-plan-2020,plan-adopted,,,,
local-plan-timetable,,4230286,2024-12-06,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2026-plan-adopted,,timetable,,,2017-01-10,birmingham-city-council-local-plan-2026,plan-adopted,,,,
local-plan-timetable,,4230287,2024-11-25,,,,,,local-plan-timetable,some,the-babergh-and-mid-suffolk-joint-local-plan-submit-plan-for-examination,,timetable,,,2021-03-31,the-babergh-and-mid-suffolk-joint-local-plan,submit-plan-for-examination,,,,
local-plan-timetable,,4230288,2024-11-25,,,,,,local-plan-timetable,some,the-babergh-and-mid-suffolk-joint-local-plan-planning-inspectorate-examination-end,,timetable,,,2023-09-19,the-babergh-and-mid-suffolk-joint-local-plan,planning-inspectorate-examination-end,,,,
local-plan-timetable,,4230289,2024-11-25,,,,,,local-plan-timetable,some,the-babergh-and-mid-suffolk-joint-local-plan-inspector-report-published,,timetable,,,2023-09-19,the-babergh-and-mid-suffolk-joint-local-plan,inspector-report-published,,,,
local-plan-timetable,,4230290,2024-11-25,,,,,,local-plan-timetable,some,gateshead-metropolitan-borough-council-local-plan-2010-inspector-report-published,,timetable,,,2015-02-24,gateshead-metropolitan-borough-council-local-plan-2010,inspector-report-published,,,,
local-plan-timetable,,4230291,2024-11-25,,,,,,local-plan-timetable,some,gateshead-metropolitan-borough-council-local-plan-2010-planning-inspectorate-found-sound,,timetable,,,2015-02-24,gateshead-metropolitan-borough-council-local-plan-2010,planning-inspectorate-found-sound,,,,
local-plan-timetable,,4230292,2024-12-06,,,,,,local-plan-timetable,some,the-babergh-and-mid-suffolk-joint-local-plan-plan-adopted,,timetable,,,2023-11-20,the-babergh-and-mid-suffolk-joint-local-plan,plan-adopted,,,,
local-plan-timetable,,4230293,2024-12-06,,,,,,local-plan-timetable,some,gateshead-metropolitan-borough-council-local-plan-2010-plan-adopted,,timetable,,,2015-03-26,gateshead-metropolitan-borough-council-local-plan-2010,plan-adopted,,,,
local-plan-timetable,,4230294,2024-12-06,,,,,,local-plan-timetable,some,"gloucester,-cheltenham-and-tewkesbury-joint-core-strategy-plan-adopted",,timetable,,,2017-11-23,"gloucester,-cheltenham-and-tewkesbury-joint-core-strategy",plan-adopted,,,,
local-plan-timetable,,4230295,2024-12-06,,,,29,,local-plan-timetable,some,arun-district-council-local-plan-2011-plan-adopted,,timetable,,,2018-07-18,arun-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230296,2024-12-06,,,,137,,local-plan-timetable,some,fareham-borough-council-local-plan-2021-plan-adopted,,timetable,,,2023-04-05,fareham-borough-council-local-plan-2021,plan-adopted,,,,
local-plan-timetable,,4230297,2024-12-06,,,,116,,local-plan-timetable,some,eastbourne-borough-council-local-plan-2006-plan-adopted,,timetable,,,2013-02-20,eastbourne-borough-council-local-plan-2006,plan-adopted,,,,
local-plan-timetable,,4230298,2024-12-06,,,,50,,local-plan-timetable,some,barnsley-metropolitan-borough-council-local-plan-2014-plan-adopted,,timetable,,,2019-01-03,barnsley-metropolitan-borough-council-local-plan-2014,plan-adopted,,,,
local-plan-timetable,,4230299,2024-12-06,,,,70,,local-plan-timetable,some,cambridge-city-council-local-plan-2018-plan-adopted,,timetable,,,2018-10-18,cambridge-city-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230300,2024-12-06,,,,26,,local-plan-timetable,some,adur-district-council-local-plan-2017-plan-adopted,,timetable,,,2017-12-14,adur-district-council-local-plan-2017,plan-adopted,,,,
local-plan-timetable,,4230301,2024-12-06,,,,88,,local-plan-timetable,some,calderdale-metropolitan-borough-council-local-plan-2018-plan-adopted,,timetable,,,2023-03-22,calderdale-metropolitan-borough-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230302,2024-12-06,,,,385,,local-plan-timetable,some,warrington-borough-council-local-plan-2021-plan-adopted,,timetable,,,2023-12-04,warrington-borough-council-local-plan-2021,plan-adopted,,,,
local-plan-timetable,,4230303,2024-12-06,,,,103,,local-plan-timetable,some,dartford-borough-council-local-plan-2024-plan-adopted,,timetable,,,2024-04-22,dartford-borough-council-local-plan-2024,plan-adopted,,,,
local-plan-timetable,,4230304,2024-12-06,,,,303,,local-plan-timetable,some,sunderland-city-council-local-plan-2015-plan-adopted,,timetable,,,2020-01-30,sunderland-city-council-local-plan-2015,plan-adopted,,,,
local-plan-timetable,,4230305,2024-12-06,,,,44,,local-plan-timetable,some,birmingham-city-council-local-plan-2011-plan-adopted,,timetable,,,2017-01-10,birmingham-city-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230306,2024-12-06,,,,400,,local-plan-timetable,some,dartmoor-national-park-authority-local-plan-2018-plan-adopted,,timetable,,,2021-12-03,dartmoor-national-park-authority-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230307,2024-12-06,,,,205,,local-plan-timetable,some,maidstone-borough-council-local-plan-2021-plan-adopted,,timetable,,,2024-03-20,maidstone-borough-council-local-plan-2021,plan-adopted,,,,
local-plan-timetable,,4230308,2024-12-06,,,,118,,local-plan-timetable,some,east-cambridgeshire-district-council-local-plan-2011-plan-adopted,,timetable,,,2015-04-21,east-cambridgeshire-district-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230309,2024-12-06,,,,175,,local-plan-timetable,some,london-borough-of-haringey-local-plan-2013-plan-adopted,,timetable,,,2017-07-24,london-borough-of-haringey-local-plan-2013,plan-adopted,,,,
local-plan-timetable,,4230310,2024-12-06,,,,75,,local-plan-timetable,some,canterbury-city-council-local-plan-2011-plan-adopted,,timetable,,,2017-07-13,canterbury-city-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230311,2024-12-06,,,,107,,local-plan-timetable,some,derby-city-council-local-plan-2011-plan-adopted,,timetable,,,2017-01-25,derby-city-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230312,2024-12-06,,,,156,,local-plan-timetable,some,halton-borough-council-local-plan-2014-plan-adopted,,timetable,,,2022-03-02,halton-borough-council-local-plan-2014,plan-adopted,,,,
local-plan-timetable,,4230313,2024-12-06,,,,156,,local-plan-timetable,some,halton-borough-council-local-plan-2014-timetable-published,,timetable,,,2020-03-05,halton-borough-council-local-plan-2014,timetable-published,,,,
local-plan-timetable,,4230314,2024-12-06,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2011-plan-adopted,,timetable,,,2016-05-26,basingstoke-and-deane-borough-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230315,2024-12-06,,,,166,,local-plan-timetable,some,high-peak-borough-council-local-plan-2011-plan-adopted,,timetable,,,2016-04-14,high-peak-borough-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230316,2024-12-06,,,,319,,local-plan-timetable,some,london-borough-of-sutton-local-plan-2016-plan-adopted,,timetable,,,2018-02-26,london-borough-of-sutton-local-plan-2016,plan-adopted,,,,
local-plan-timetable,,4230317,2024-12-06,,,,119,,local-plan-timetable,some,east-devon-district-council-local-plan-2013-plan-adopted,,timetable,,,2016-01-28,east-devon-district-council-local-plan-2013,plan-adopted,,,,
local-plan-timetable,,4230318,2024-12-06,,,,106,,local-plan-timetable,some,derbyshire-dales-district-council-local-plan-2013-plan-adopted,,timetable,,,2017-12-07,derbyshire-dales-district-council-local-plan-2013,plan-adopted,,,,
local-plan-timetable,,4230319,2024-12-06,,,,119,,local-plan-timetable,some,east-devon-district-council-local-plan-2020-timetable-published,,timetable,,,2023-12-06,east-devon-district-council-local-plan-2020,timetable-published,,,,
local-plan-timetable,,4230320,2024-12-06,,,,145,,local-plan-timetable,some,gloucester-city-council-local-plan-2011-plan-adopted,,timetable,,,2023-01-01,gloucester-city-council-local-plan-2011,plan-adopted,,,,
local-plan-timetable,,4230321,2024-12-06,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-1998-plan-adopted,,timetable,,,1998-11-17,castle-point-borough-council-local-plan-1998,plan-adopted,,,,
local-plan-timetable,,4230322,2024-12-06,,,,34,,local-plan-timetable,some,bassetlaw-district-council-local-plan-2018-plan-adopted,,timetable,,,2024-05-29,bassetlaw-district-council-local-plan-2018,plan-adopted,,,,
local-plan-timetable,,4230323,2024-12-06,,,,217,,local-plan-timetable,some,london-borough-of-merton-local-plan-2024-plan-adopted,,timetable,,,2024-11-20,london-borough-of-merton-local-plan-2024,plan-adopted,,,,
local-plan-timetable,,4230324,2024-12-06,,,,101,,local-plan-timetable,some,dacorum-borough-council-local-plan-2006-plan-adopted,,timetable,,,2013-09-25,dacorum-borough-council-local-plan-2006,plan-adopted,,,,
