prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-plan,,,,government-organisation:D1342,north-east-lincolnshire-council-new-local-plan,4220836,,,
local-plan,,,,government-organisation:D1342,north-hertfordshire-district-council-new-local-plan,4220837,,,
local-plan,,,,government-organisation:D1342,north-kesteven-district-council-new-local-plan,4220838,,,
local-plan,,,,government-organisation:D1342,north-lincolnshire-council-new-local-plan,4220839,,,
local-plan,,,,government-organisation:D1342,north-norfolk-district-council-new-local-plan,4220840,,,
local-plan,,,,government-organisation:D1342,north-northamptonshire-council-new-local-plan,4220841,,,
local-plan,,,,government-organisation:D1342,north-somerset-council-new-local-plan,4220842,,,
local-plan,,,,government-organisation:D1342,north-tyneside-council-new-local-plan,4220843,,,
local-plan,,,,government-organisation:D1342,north-warwickshire-borough-council-new-local-plan,4220844,,,
local-plan,,,,government-organisation:D1342,north-west-leicestershire-district-council-new-local-plan,4220845,,,
local-plan,,,,government-organisation:D1342,north-york-moors-national-park-authority-new-local-plan,4220846,,,
local-plan,,,,government-organisation:D1342,north-yorkshire-council-new-local-plan,4220847,,,
local-plan,,,,government-organisation:D1342,northumberland-county-council-new-local-plan,4220848,,,
local-plan,,,,government-organisation:D1342,northumberland-national-park-authority-new-local-plan,4220849,,,
local-plan,,,,government-organisation:D1342,norwich-city-council-new-local-plan,4220850,,,
local-plan,,,,government-organisation:D1342,nottingham-city-council-new-local-plan,4220851,,,
local-plan,,,,government-organisation:D1342,nuneaton-and-bedworth-borough-council-new-local-plan,4220852,,,
local-plan,,,,government-organisation:D1342,oadby-and-wigston-borough-council-new-local-plan,4220853,,,
local-plan,,,,government-organisation:D1342,old-oak-and-park-royal-development-corporation-new-local-plan,4220854,,,
local-plan,,,,government-organisation:D1342,oldham-metropolitan-borough-council-new-local-plan,4220855,,,
local-plan,,,,government-organisation:D1342,oxford-city-council-new-local-plan,4220856,,,
local-plan,,,,government-organisation:D1342,peak-district-national-park-authority-new-local-plan,4220857,,,
local-plan,,,,government-organisation:D1342,pendle-borough-council-new-local-plan,4220858,,,
local-plan,,,,government-organisation:D1342,peterborough-city-council-new-local-plan,4220859,,,
local-plan,,,,government-organisation:D1342,plymouth-city-council-new-local-plan,4220860,,,
local-plan,,,,government-organisation:D1342,portsmouth-city-council-new-local-plan,4220861,,,
local-plan,,,,government-organisation:D1342,preston-city-council-new-local-plan,4220862,,,
local-plan,,,,government-organisation:D1342,reading-borough-council-new-local-plan,4220863,,,
local-plan,,,,government-organisation:D1342,redcar-and-cleveland-borough-council-new-local-plan,4220864,,,
local-plan,,,,government-organisation:D1342,redditch-borough-council-new-local-plan,4220865,,,
local-plan,,,,government-organisation:D1342,reigate-and-banstead-borough-council-new-local-plan,4220866,,,
local-plan,,,,government-organisation:D1342,ribble-valley-borough-council-new-local-plan,4220867,,,
local-plan,,,,government-organisation:D1342,rochdale-metropolitan-borough-council-new-local-plan,4220868,,,
local-plan,,,,government-organisation:D1342,rochford-district-council-new-local-plan,4220869,,,
local-plan,,,,government-organisation:D1342,rossendale-borough-council-new-local-plan,4220870,,,
local-plan,,,,government-organisation:D1342,rother-district-council-new-local-plan,4220871,,,
local-plan,,,,government-organisation:D1342,rotherham-metropolitan-borough-council-new-local-plan,4220872,,,
local-plan,,,,government-organisation:D1342,royal-borough-of-greenwich-new-local-plan,4220873,,,
local-plan,,,,government-organisation:D1342,royal-borough-of-kensington-and-chelsea-new-local-plan,4220874,,,
local-plan,,,,government-organisation:D1342,royal-borough-of-kingston-upon-thames-new-local-plan,4220875,,,
local-plan,,,,government-organisation:D1342,royal-borough-of-windsor-and-maidenhead-new-local-plan,4220876,,,
local-plan,,,,government-organisation:D1342,rugby-borough-council-new-local-plan,4220877,,,
local-plan,,,,government-organisation:D1342,runnymede-borough-council-new-local-plan,4220878,,,
local-plan,,,,government-organisation:D1342,rushcliffe-borough-council-new-local-plan,4220879,,,
local-plan,,,,government-organisation:D1342,rushmoor-borough-council-new-local-plan,4220880,,,
local-plan,,,,government-organisation:D1342,rutland-county-council-new-local-plan,4220881,,,
local-plan,,,,government-organisation:D1342,salford-city-council-new-local-plan,4220882,,,
local-plan,,,,government-organisation:D1342,sandwell-metropolitan-borough-council-new-local-plan,4220883,,,
local-plan,,,,government-organisation:D1342,sefton-metropolitan-borough-council-new-local-plan,4220884,,,
local-plan,,,,government-organisation:D1342,sevenoaks-district-council-new-local-plan,4220885,,,
local-plan,,,,government-organisation:D1342,sheffield-city-council-new-local-plan,4220886,,,
local-plan,,,,government-organisation:D1342,shropshire-council-new-local-plan,4220887,,,
local-plan,,,,government-organisation:D1342,slough-borough-council-new-local-plan,4220888,,,
local-plan,,,,government-organisation:D1342,solihull-metropolitan-borough-council-new-local-plan,4220889,,,
local-plan,,,,government-organisation:D1342,somerset-council-new-local-plan,4220890,,,
local-plan,,,,government-organisation:D1342,south-cambridgeshire-district-council-new-local-plan,4220891,,,
local-plan,,,,government-organisation:D1342,south-derbyshire-district-council-new-local-plan,4220892,,,
local-plan,,,,government-organisation:D1342,south-downs-national-park-authority-new-local-plan,4220893,,,
