planning-authorities,name,organisations,local-plan-event,start-date,type,planning-authorities-listed,curie-organisations,geography-codes
Gloucestershire County Council,Waste Core Strategy,,reg-19-publication-local-plan-published,2010-12-13,W,Gloucestershire County Council,local-authority:GLS,E10000013
Gloucestershire County Council,Waste Core Strategy,,submit-plan-for-examination,2011-09-05,W,Gloucestershire County Council,local-authority:GLS,E10000013
Greater Manchester Authorities,Minerals,,plan-adopted,2013-04-26,M,Bolton Metropolitan Borough Council;Bury Metropolitan Borough Council;Manchester City Council;Oldham Metropolitan Borough Council;Rochdale Metropolitan Borough Council;Salford City Council;Stockport Metropolitan Borough Council;Tameside Metropolitan Borough Council;Trafford Metropolitan Borough Council;Wigan Metropolitan Borough Council,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034
Greater Manchester Authorities,Minerals,,planning-inspectorate-found-sound,2013-01-18,M,Bolton Metropolitan Borough Council;Bury Metropolitan Borough Council;Manchester City Council;Oldham Metropolitan Borough Council;Rochdale Metropolitan Borough Council;Salford City Council;Stockport Metropolitan Borough Council;Tameside Metropolitan Borough Council;Trafford Metropolitan Borough Council;Wigan Metropolitan Borough Council,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034
Greater Manchester Authorities,Minerals,,reg-19-publication-local-plan-published,2011-07-19,M,Bolton Metropolitan Borough Council;Bury Metropolitan Borough Council;Manchester City Council;Oldham Metropolitan Borough Council;Rochdale Metropolitan Borough Council;Salford City Council;Stockport Metropolitan Borough Council;Tameside Metropolitan Borough Council;Trafford Metropolitan Borough Council;Wigan Metropolitan Borough Council,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034
Greater Manchester Authorities,Minerals,,submit-plan-for-examination,2011-11-11,M,Bolton Metropolitan Borough Council;Bury Metropolitan Borough Council;Manchester City Council;Oldham Metropolitan Borough Council;Rochdale Metropolitan Borough Council;Salford City Council;Stockport Metropolitan Borough Council;Tameside Metropolitan Borough Council;Trafford Metropolitan Borough Council;Wigan Metropolitan Borough Council,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034
Greater Manchester Authorities,Waste,,plan-adopted,2012-03-28,W,Bolton Metropolitan Borough Council;Bury Metropolitan Borough Council;Manchester City Council;Oldham Metropolitan Borough Council;Rochdale Metropolitan Borough Council;Salford City Council;Stockport Metropolitan Borough Council;Tameside Metropolitan Borough Council;Trafford Metropolitan Borough Council;Wigan Metropolitan Borough Council,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034
Greater Manchester Authorities,Waste,,planning-inspectorate-found-sound,2011-11-04,W,Bolton Metropolitan Borough Council;Bury Metropolitan Borough Council;Manchester City Council;Oldham Metropolitan Borough Council;Rochdale Metropolitan Borough Council;Salford City Council;Stockport Metropolitan Borough Council;Tameside Metropolitan Borough Council;Trafford Metropolitan Borough Council;Wigan Metropolitan Borough Council,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034
Greater Manchester Authorities,Waste,,reg-19-publication-local-plan-published,2010-11-01,W,Bolton Metropolitan Borough Council;Bury Metropolitan Borough Council;Manchester City Council;Oldham Metropolitan Borough Council;Rochdale Metropolitan Borough Council;Salford City Council;Stockport Metropolitan Borough Council;Tameside Metropolitan Borough Council;Trafford Metropolitan Borough Council;Wigan Metropolitan Borough Council,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034
Greater Manchester Authorities,Waste,,submit-plan-for-examination,2011-02-28,W,Bolton Metropolitan Borough Council;Bury Metropolitan Borough Council;Manchester City Council;Oldham Metropolitan Borough Council;Rochdale Metropolitan Borough Council;Salford City Council;Stockport Metropolitan Borough Council;Tameside Metropolitan Borough Council;Trafford Metropolitan Borough Council;Wigan Metropolitan Borough Council,local-authority:BOL;local-authority:BUR;local-authority:MAN;local-authority:OLD;local-authority:RCH;local-authority:SLF;local-authority:SKP;local-authority:TAM;local-authority:TRF;local-authority:WGN,E60000025-E60000026-E60000027-E60000028-E60000029-E60000030-E60000031-E60000032-E60000033-E60000034
Hampshire County Council,Minerals & Waste CS,,plan-adopted,2007-07-12,M;W,Hampshire County Council,local-authority:HAM,E10000014
Hampshire County Council,Minerals & Waste CS,,planning-inspectorate-found-sound,2007-05-29,M;W,Hampshire County Council,local-authority:HAM,E10000014
Hampshire County Council,Minerals & Waste CS,,submit-plan-for-examination,2006-05-30,M;W,Hampshire County Council,local-authority:HAM,E10000014
"Hampshire County Council, New Forest District Council, Southampton City Council, Portsmouth City Council and South Downs National Park Authority",Minerals & Waste Local Plan ,E10000014,planning-inspectorate-examination-start,2025-02-04,M;W,Hampshire County Council;New Forest District Council;Southampton City Council;Portsmouth City Council;South Downs National Park Authority,local-authority:HAM;local-authority:NEW;local-authority:STH;local-authority:POR;national-park-authority:Q20198711,E10000014-E60000249-E60000229-E60000226-E60000325
"Hampshire County Council, New Forest District Council, Southampton City Council, Portsmouth City Council and South Downs National Park Authority",Minerals & Waste Local Plan ,E10000014,reg-19-publication-local-plan-published,2024-01-09,M;W,Hampshire County Council;New Forest District Council;Southampton City Council;Portsmouth City Council;South Downs National Park Authority,local-authority:HAM;local-authority:NEW;local-authority:STH;local-authority:POR;national-park-authority:Q20198711,E10000014-E60000249-E60000229-E60000226-E60000325
"Hampshire County Council, New Forest District Council, Southampton City Council, Portsmouth City Council and South Downs National Park Authority",Minerals & Waste Local Plan ,E10000014,submit-plan-for-examination,2024-07-29,M;W,Hampshire County Council;New Forest District Council;Southampton City Council;Portsmouth City Council;South Downs National Park Authority,local-authority:HAM;local-authority:NEW;local-authority:STH;local-authority:POR;national-park-authority:Q20198711,E10000014-E60000249-E60000229-E60000226-E60000325
Herefordshire District Council,Minerals & Waste,,plan-adopted,2024-03-08,M;W,Herefordshire District Council,local-authority:HEF,E60000113
Herefordshire District Council,Minerals & Waste,,planning-inspectorate-examination-end,2022-11-15,M;W,Herefordshire District Council,local-authority:HEF,E60000113
Herefordshire District Council,Minerals & Waste,,planning-inspectorate-examination-start,2022-11-08,M;W,Herefordshire District Council,local-authority:HEF,E60000113
Herefordshire District Council,Minerals & Waste,,planning-inspectorate-found-sound,2023-10-31,M;W,Herefordshire District Council,local-authority:HEF,E60000113
Herefordshire District Council,Minerals & Waste,,reg-19-publication-local-plan-published,2021-04-12,M;W,Herefordshire District Council,local-authority:HEF,E60000113
Herefordshire District Council,Minerals & Waste,,submit-plan-for-examination,2022-03-22,M;W,Herefordshire District Council,local-authority:HEF,E60000113
Hertfordshire County Council,Minerals Local Plan,,reg-19-publication-local-plan-published,2019-01-14,M,Hertfordshire County Council,local-authority:HRT,E10000015
Hertfordshire County Council,Waste CS & Dev Control Policies,,plan-adopted,2012-11-05,W,Hertfordshire County Council,local-authority:HRT,E10000015
Hertfordshire County Council,Waste CS & Dev Control Policies,,planning-inspectorate-found-sound,2012-07-17,W,Hertfordshire County Council,local-authority:HRT,E10000015
Hertfordshire County Council,Waste CS & Dev Control Policies,,reg-19-publication-local-plan-published,2010-11-01,W,Hertfordshire County Council,local-authority:HRT,E10000015
Hertfordshire County Council,Waste CS & Dev Control Policies,,submit-plan-for-examination,2011-06-27,W,Hertfordshire County Council,local-authority:HRT,E10000015
Hertfordshire County Council,Waste Site Allocations,,plan-adopted,2014-07-01,W,Hertfordshire County Council,local-authority:HRT,E10000015
Hertfordshire County Council,Waste Site Allocations,,planning-inspectorate-found-sound,2014-03-24,W,Hertfordshire County Council,local-authority:HRT,E10000015
Hertfordshire County Council,Waste Site Allocations,,reg-19-publication-local-plan-published,2012-02-06,W,Hertfordshire County Council,local-authority:HRT,E10000015
Hertfordshire County Council,Waste Site Allocations,,submit-plan-for-examination,2013-06-24,W,Hertfordshire County Council,local-authority:HRT,E10000015
Hull City Council and East Riding of Yorkshire Council,Joint Minerals Plan,,plan-adopted,2019-11-21,M,Hull City Council;East Riding of Yorkshire Council,local-authority:KHL;local-authority:ERY,E60000053-E60000052
Hull City Council and East Riding of Yorkshire Council,Joint Minerals Plan,,planning-inspectorate-examination-end,2019-01-09,M,Hull City Council;East Riding of Yorkshire Council,local-authority:KHL;local-authority:ERY,E60000053-E60000052
Hull City Council and East Riding of Yorkshire Council,Joint Minerals Plan,,planning-inspectorate-examination-start,2019-01-08,M,Hull City Council;East Riding of Yorkshire Council,local-authority:KHL;local-authority:ERY,E60000053-E60000052
Hull City Council and East Riding of Yorkshire Council,Joint Minerals Plan,,planning-inspectorate-found-sound,2019-07-19,M,Hull City Council;East Riding of Yorkshire Council,local-authority:KHL;local-authority:ERY,E60000053-E60000052
Hull City Council and East Riding of Yorkshire Council,Joint Minerals Plan,,reg-19-publication-local-plan-published,2018-04-18,M,Hull City Council;East Riding of Yorkshire Council,local-authority:KHL;local-authority:ERY,E60000053-E60000052
Hull City Council and East Riding of Yorkshire Council,Joint Minerals Plan,,submit-plan-for-examination,2018-07-23,M,Hull City Council;East Riding of Yorkshire Council,local-authority:KHL;local-authority:ERY,E60000053-E60000052
Kent County Council,Mineral Sites Plan,,plan-adopted,2020-09-10,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Mineral Sites Plan,,planning-inspectorate-examination-end,2019-10-15,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Mineral Sites Plan,,planning-inspectorate-examination-start,2019-10-08,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Mineral Sites Plan,,planning-inspectorate-found-sound,2020-04-23,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Mineral Sites Plan,,reg-19-publication-local-plan-published,2019-01-11,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Mineral Sites Plan,,submit-plan-for-examination,2019-05-03,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Minerals and Waste Plan,,plan-adopted,2025-03-13,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Minerals and Waste Plan,,planning-inspectorate-examination-end,2024-09-17,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Minerals and Waste Plan,,planning-inspectorate-examination-start,2024-09-10,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Minerals and Waste Plan,,planning-inspectorate-found-sound,2025-02-06,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Minerals and Waste Plan,,reg-19-publication-local-plan-published,2024-01-17,M;W,Kent County Council,local-authority:KEN,E10000016
Kent County Council,Minerals and Waste Plan,,submit-plan-for-examination,2024-05-17,M;W,Kent County Council,local-authority:KEN,E10000016
Lake District National Park,Minerals Safeguarding areas,,plan-adopted,2013-11-20,M,Lake District National Park,national-park-authority:Q27159704,E60000320
Lake District National Park,Minerals Safeguarding areas,,planning-inspectorate-found-sound,2013-09-12,M,Lake District National Park,national-park-authority:Q27159704,E60000320
Lake District National Park,Minerals Safeguarding areas,,reg-19-publication-local-plan-published,2012-10-19,M,Lake District National Park,national-park-authority:Q27159704,E60000320
Lake District National Park,Minerals Safeguarding areas,,submit-plan-for-examination,2013-03-15,M,Lake District National Park,national-park-authority:Q27159704,E60000320
Lancashire County Council,Minerals & Waste Core Strategy,,plan-adopted,2009-02-26,M;W,Lancashire County Council,local-authority:LAN,E10000017
Lancashire County Council,Minerals & Waste Core Strategy,,planning-inspectorate-found-sound,2008-08-22,M;W,Lancashire County Council,local-authority:LAN,E10000017
Lancashire County Council,Minerals & Waste Core Strategy,,submit-plan-for-examination,2007-11-29,M;W,Lancashire County Council,local-authority:LAN,E10000017
Leeds City Council,Natural Resources & Waste LP Policies Minerals 13 & 14,E08000035,plan-adopted,2013-01-16,M;W,Leeds City Council,local-authority:LDS,E60000071
Leeds City Council,Natural Resources & Waste LP Policies Minerals 13 & 14,E08000035,planning-inspectorate-examination-end,2015-05-28,M;W,Leeds City Council,local-authority:LDS,E60000071
Leeds City Council,Natural Resources & Waste LP Policies Minerals 13 & 14,E08000035,planning-inspectorate-examination-start,2015-05-27,M;W,Leeds City Council,local-authority:LDS,E60000071
Leeds City Council,Natural Resources & Waste LP Policies Minerals 13 & 14,E08000035,planning-inspectorate-found-sound,2012-12-07,M;W,Leeds City Council,local-authority:LDS,E60000071
Leeds City Council,Natural Resources & Waste LP Policies Minerals 13 & 14,E08000035,reg-19-publication-local-plan-published,2010-12-15,M;W,Leeds City Council,local-authority:LDS,E60000071
Leeds City Council,Natural Resources & Waste LP Policies Minerals 13 & 14,E08000035,submit-plan-for-examination,2011-07-25,M;W,Leeds City Council,local-authority:LDS,E60000071
Leicestershire County Council,Minerals & Waste Plan,E10000018,plan-adopted,2019-09-25,M;W,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Minerals & Waste Plan,E10000018,planning-inspectorate-examination-end,2018-10-23,M;W,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Minerals & Waste Plan,E10000018,planning-inspectorate-examination-start,2018-10-22,M;W,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Minerals & Waste Plan,E10000018,planning-inspectorate-found-sound,2019-05-21,M;W,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Minerals & Waste Plan,E10000018,reg-19-publication-local-plan-published,2017-11-10,M;W,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Minerals & Waste Plan,E10000018,submit-plan-for-examination,2018-03-23,M;W,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Minerals CS & DC Policies,,plan-adopted,2009-10-08,M,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Minerals CS & DC Policies,,planning-inspectorate-found-sound,2009-05-01,M,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Minerals CS & DC Policies,,submit-plan-for-examination,2008-06-23,M,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Waste CS & DC Policies,,plan-adopted,2009-10-08,W,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Waste CS & DC Policies,,planning-inspectorate-found-sound,2009-05-01,W,Leicestershire County Council,local-authority:LEC,E10000018
Leicestershire County Council,Waste CS & DC Policies,,submit-plan-for-examination,2008-06-23,W,Leicestershire County Council,local-authority:LEC,E10000018
Lincolnshire County Council,Minerals & Waste Plan,,plan-adopted,2016-05-10,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals & Waste Plan,,planning-inspectorate-found-sound,2016-02-22,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals & Waste Plan,,reg-19-publication-local-plan-published,2015-01-05,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals & Waste Plan,,submit-plan-for-examination,2015-06-05,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals and Waste Site Locations,,plan-adopted,2017-12-15,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals and Waste Site Locations,E10000019,planning-inspectorate-examination-end,2017-07-27,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals and Waste Site Locations,E10000019,planning-inspectorate-examination-start,2017-07-25,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals and Waste Site Locations,,planning-inspectorate-found-sound,2017-09-19,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals and Waste Site Locations,,reg-19-publication-local-plan-published,2016-11-07,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
Lincolnshire County Council,Minerals and Waste Site Locations,,submit-plan-for-examination,2017-04-03,M;W,Lincolnshire County Council,local-authority:LIN,E10000019
"London Borough of Barnet, London Borough of Camden, London Borough of Enfield, London Borough of Hackney, London Borough of Haringey, London Borough of Islington and London Borough of Waltham Forest",Joint Waste,,planning-inspectorate-found-sound,2013-03-14,W,London Borough of Barnet;London Borough of Camden;London Borough of Enfield;London Borough of Hackney;London Borough of Haringey;London Borough of Islington;London Borough of Waltham Forest,local-authority:BNE;local-authority:CMD;local-authority:ENF;local-authority:HCK;local-authority:HRY;local-authority:ISL;local-authority:WFT,E60000203-E60000188-E60000209-E60000190-E60000192-E60000193-E60000220
"London Borough of Barnet, London Borough of Camden, London Borough of Enfield, London Borough of Hackney, London Borough of Haringey, London Borough of Islington and London Borough of Waltham Forest",Joint Waste,,reg-19-publication-local-plan-published,2011-05-11,W,London Borough of Barnet;London Borough of Camden;London Borough of Enfield;London Borough of Hackney;London Borough of Haringey;London Borough of Islington;London Borough of Waltham Forest,local-authority:BNE;local-authority:CMD;local-authority:ENF;local-authority:HCK;local-authority:HRY;local-authority:ISL;local-authority:WFT,E60000203-E60000188-E60000209-E60000190-E60000192-E60000193-E60000220
"London Borough of Barnet, London Borough of Camden, London Borough of Enfield, London Borough of Hackney, London Borough of Haringey, London Borough of Islington and London Borough of Waltham Forest",Joint Waste,,submit-plan-for-examination,2012-02-28,W,London Borough of Barnet;London Borough of Camden;London Borough of Enfield;London Borough of Hackney;London Borough of Haringey;London Borough of Islington;London Borough of Waltham Forest,local-authority:BNE;local-authority:CMD;local-authority:ENF;local-authority:HCK;local-authority:HRY;local-authority:ISL;local-authority:WFT,E60000203-E60000188-E60000209-E60000190-E60000192-E60000193-E60000220
