reference,curie-organisations,geography-codes,name,start-year,end-year,adoption-date,documentation-url,document-url,entry-date
sfk-mineral-plan-2009,local-authority:SFK,E10000029,Minerals Site Specific Allocations,,,2009-09-24,,https://www.eastsuffolk.gov.uk/assets/Planning/Suffolk-Coastal-Local-Plan/Document-Library/Waste/Chapter-1-Introduction.pdf,2026-01-27
som-mineral-plan-2030,local-authority:SOM,E10000027,Minerals Plan,,2030,2015-02-18,https://www.somerset.gov.uk/planning-buildings-and-land/minerals-and-waste-planning/#Minerals%20Plan,https://somersetcc.sharepoint.com/sites/SCCPublic/Planning%20and%20Land/Forms/AllItems.aspx?id=%2Fsites%2FSCCPublic%2FPlanning%20and%20Land%2FMinerals%20and%20Waste%2FSomerset%20Minerals%20Plan%2Epdf&parent=%2Fsites%2FSCCPublic%2FPlanning%20and%20Land%2FMinerals%20and%20Waste&p=true&ga=1,2026-01-27
sry-mineral-plan-2026,local-authority:SRY,E10000030,Minerals CS,,2026,2011-07-19,https://www.surreycc.gov.uk/land-planning-and-development/minerals-and-waste/minerals-core-strategy-development-plan,https://www.surreycc.gov.uk/__data/assets/pdf_file/0007/81439/Adopted-Core-Strategy-Development-Plan-Document.pdf,2026-01-27
sts-mineral-plan-2030,local-authority:STS,E10000028,Minerals Plan,2015,2030,2017-02-16,https://www.staffordshire.gov.uk/environment/planning/policy/mineralslocalplan/mineralsLocalPlan.aspx,https://www.staffordshire.gov.uk/Environment/Planning/policy/mineralslocalplan/Documents/The-Minerals-Local-Plan-for-Staffordshire-2015-2030.PDF,2026-01-27
war-mineral-plan-2032,local-authority:WAR,E10000031,Warwickshire Minerals Local Plan,2018,2032,2022-07-19,https://www.warwickshire.gov.uk/mineralslocalplan,https://warwickshire-consult.objective.co.uk/file/6136944,2026-01-27
wbk-mineral-waste-plan-2037,local-authority:WBK,E60000230,Minerals and Waste Local Plan,2022,2037,2022-12-01,https://www.westberks.gov.uk/article/41069/The-Minerals-and-Waste-Local-Plan,https://www.westberks.gov.uk/media/53808/Final-Minerals-and-Waste-Local-Plan/pdf/FINAL_MWLP_09.11.22.pdf?m=1669718157867,2026-01-27
wil-swd-mineral-plan-2026,local-authority:WIL;local-authority:SWD,E60000299-E60000297,Aggregate Minerals Site Allocations,,2026,2013-05-14,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8558/Aggregate-Minerals-Site-Allocations-Local-Plan-May-2013/pdf/minerals-adopted-sites-local-plan-may-13.pdf?m=1644848312187,2026-01-27
wil-swd-mineral-plan-2026,local-authority:WIL;local-authority:SWD,E60000299-E60000297,Minerals Core Strategy,2006,2026,2009-06-01,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8546/minerals-core-strategy-june-2009/pdf/minerals-core-strategy-june-2009.pdf?m=1644847319550,2026-01-27
wil-swd-mineral-plan-2026,local-authority:WIL;local-authority:SWD,E60000299-E60000297,Minerals DC Policies,,2026,2009-09-01,https://www.wiltshire.gov.uk/article/1080/Minerals-and-Waste,https://www.wiltshire.gov.uk/media/8551/minerals-development-control-policies-dpd-September-2009/pdf/adopted-minerals-development-control-policies-dpd-2009-september.pdf?m=1644847883447,2026-01-27
wor-mineral-plan-2036,local-authority:WOR,E10000034,Minerals local Plan,2018,2036,2022-07-14,https://www.worcestershire.gov.uk/council-services/planning-and-developments/planning-policy-and-strategy/minerals-planning-policy/adopted-minerals-local-plan,https://www.worcestershire.gov.uk/sites/default/files/2022-11/Worcestershire_Minerals_Local_Plan__2018_2036_.pdf,2026-01-27
wsx-q20198711-mineral-plan-2033,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325,Joint Minerals Local Plan,2018,2033,2018-07-20,https://www.westsussex.gov.uk/about-the-council/policies-and-reports/environment-planning-and-waste-policy-and-reports/minerals-and-waste-policy/joint-minerals-local-plan/,https://www.westsussex.gov.uk/media/11736/mlp_adoption.pdf,2026-01-27
wsx-q20198711-mineral-plan-2033,local-authority:WSX;national-park-authority:Q20198711,E10000032-E60000325,Joint Minerals Local Plan Soft Sand Review,2021,2033,2021-03-25,https://www.westsussex.gov.uk/about-the-council/policies-and-reports/environment-planning-and-waste-policy-and-reports/minerals-and-waste-policy/joint-minerals-local-plan/,https://www.westsussex.gov.uk/media/11736/mlp_adoption.pdf,2026-01-27
q27159704-mineral-plan-2013,national-park-authority:Q27159704,E60000320,Minerals Safeguarding areas,,,2013-11-20,,https://elibrary.cumbria.gov.uk/elibrary/Content/Internet/538/755/1929/17716/17717/4211710394.PDF,2026-01-27
